"text","handle","category","star_tweet"
"And, above all: who's Georgij's mystery girl and where the heck is he now? *muffled carmen sandiego's theme playing in the distance* https://t.co/EkaegnSYWQ","@raxilia_r","cultural-icon",
"@Gota_de_L1uvia I'm slick Carmen sandiego honestly lol I live in Ga until tomorrow when I drive up north to relocate","@illbelate2that","travel",
"My favourite solo traveller (sorry @AlyssaRamos 🙊) is coming to Netflix! https://t.co/owhYQz96o8 #solotravel #travel #CarmenSandiego https://t.co/c1TKYuGzYM","@brandon_sousa","travel","x"
"Tell me, Where in the World is #CarmenSandiego? This Carmen is currently in #YorkPA. #WhereInTheWorldIsCarmenSandiego #Halloween 🕵🏻‍♀️🗺 https://t.co/10rDpFu6MZ","@PhotogChris","fashion",
"Netflix's Carmen Sandiego Series Gets a Release Date https://t.co/Vgk19QvaF7 https://t.co/jteLFenxWc","@CBR","cultural-icon",
"Netflix finds 'Carmen Sandiego' for its latest reboot: https://t.co/uPk3YUGW0D","@fusioneletronix","cultural-icon",
"Just realized the best cosplay photo would be Waldo and Carmen Sandiego together.","@j_hat","cultural-icon",
"To whoever gave Erin Andrews the go-ahead to dress up like Carmen SanDiego today, thank you... thank you very much. http://t.co/Oci7RgVOTw","@RyanPappolla","cultural-icon",
"@EIWBM_Cat Never played. I loaded adventure games into my computer with a cassette tape on my TI-99 4A back in the day. When Carmen Sandiego came out, I was too old for that.","@BadJohnBrown","cultural-icon",
"New post (Where's Waldo and Carmen Sandiego...) has been published on 2017 Halloween - https://t.co/jrIUGM9VOy https://t.co/Q8L7a0vvaz","@Halloween_2k17","cultural-icon",
"I want a trench coat but I don't want to look like Carmen SanDiego","@briellesimonell","fashion",
"@ElSandifer The adventures of young Carmen Sandiego? Sounds better than part four of the Rise of the Tomb Raider trilogy","@BeardedJarl","cultural-icon",
"Lady Gaga Swiped Her Hat And Trench From Carmen Sandiego’s Closet https://t.co/ziXfZf4sG7 https://t.co/QxXtC7Xt6j","@CucusMusic","fashion",
