"text","handle","category","star_tweet"
"I am not only totally in for this rebirth of Carmen Sandiego, I think Gina Rodriguez would be an excellent person to portray that character. I just hope she visits North Dakota at least once! https://t.co/VIolawzp53","@ubersaurus","cultural-icon","x"
"@JoshuaMK2 When I saw this coat, the first thing that came to my mind was Carmen Sandiego.","@MineBoomGaming","fashion","x"
"@LuckyMe59 Lol! I pulled a Carmen Sandiego with this trip.","@TheMoFactor9","travel","x"
"As both a person from San Diego and someone who aspires to one day pull off a red trench coat Im very down for this https://t.co/pwA1DvEH6V https://t.co/3rHqwzXBal","@ifiwere2tweet","fashion","x"
"Please let this be a sign that quality Edutainment titles are coming back. I would love for my kids to learn as much as I did from games like Carmen Sandiego. https://t.co/kiFGIMdwf5","@Hewso81","edutainment","x"
"As someone who was raised on Carmen Sandiego games, I'm constantly disappointed at the lack of rad female villains in basically everything.","@HonestlyJon","feminism","w"
"Oh shit wanderlust strikes again. Booking a flight. #whereintheworld #carmensandiego","@laurilizabeth","travel","x"
"Everything is finally booked for my next adventure. #followme and see where Carmen San Diego will be heading too next!","@Gamxiated","travel","x"
"I had a Carmen Sandiego PC game and I was crushed when I lost it. She was an icon who taught me so much about history.","@dawn_ofanewday","inspiration","w"
"i miss carmen sandiego, she was my hero","@slayerizedcarol","inspiration","x"
"@tiffannyvarga Add red hat for the Carmen Sandiego look http://t.co/TVyDDe0h3e","@JCampana","fashion","x"
"The only time I travel around the world is when I am playing Carmen Sandiego","@Tweet4Twix","travel","x"
"@sdidonato I have only one other friend who would.. but I barely see her. she's like carmen sandiego traveling the globe #operasinger","@honeydesign","travel","x"
"do you think our generation is so travel centric due to growing up w/ shows like #CarmenSandiego? http://t.co/qWncqRi6Yl","@ptau","travel","x"
"I’m not convinced...Carmen Sandiego is still my hero to this day! Bitch stole art for fun! I’m trying to be this badass STILL! 💃🏻 https://t.co/BB57Exd2Bf","@itsyagirldev","inspiration","x"
"Priyanka Chopra just needs the hat and she's what I imagine Carmen Sandiego would look like in real life","@jcankash","fashion","x"
"And seek out my own adventures. Carmen Sandiego was my hero and inspired me to live an adventurous life #imaginationeducation #ashleythearchaeologist #girlpower https://t.co/1i6bMA3IAP","@imaginationeduc","inspiration","w"
"i want to buy a red coat, pair it with my red hat, and run around like Carmen Sandiego. Not for Halloween, just whenever i feel stealthy.","@twoslicepizza","fashion","x"
"@DulceOphelia I gotta give it up to @DulceOphelia she all over the map, tryna keep up with her roadtrip is like finding Carmen sandiego..🚗","@Baylienn","travel","x"
