"text","handle","category","star_tweet"
"Everything I know about geography I learned by chasing Carmen Sandiego.","@OMGmyFACE","edutainment","x"
"@Zerglinator Carmen Sandiego games get an Honorable Mention for teaching children of the 90s wtf an almanac is.","@LindsayPavlas","edutainment","x"
"I miss ""Where in the world is Carmen San Diego?"". High quality game. And ""Oregon Trail"" #childhoodmemories #educational","@ReidRooney","edutainment","x"
"I miss ""Where in the world is Carmen San Diego?"". High quality game. And ""Oregon Trail"" #childhoodmemories #educational","@ReidRooney","cultural-icon","x"
"Is there a good website that will teach me the countries/capital cities of the world? I need something for these post-Carmen Sandiego times.","@sexytypewriter","edutainment","x"
"Raise your hand if you learned important information from Carmen Sandiego (eg, national language of Philippines is Tagalog).","@ghostwritingcow","edutainment","x"
"What is the modern day equivalent of Where in the World is Carmen Sandiego? How do kids learn geography these days?","@DeMarko","edutainment","x"
"@ittoujuu @TheOtakusphere But Where In Time Is Carmen Sandiego taught me that ancient Rome had running water and sewage pipes!","@irothtin","edutainment","x"
"@Resulka how about a game that teaches in a unique way - like Carmen Sandiego","@demodulated","edutainment","x"
"The #Olympics have made me realize I need to relearn World Geography. Is #CarmenSandiego still around to teach me?","@irishfreckles17","edutainment","x"
"So admittedly, I learned geography from playing ""Where in the World is Carmen Sandiego"" on my computer. You know I'm cool. #gaymer","@DrYoshi2","edutainment","x"
"Woo! - Where on Earth is Carmen Sandiego was a very fun, educational TV Show. We need more stuff like this... http://t.co/l2P30VR0NB","@Ask18Carrot","edutainment","x"
"Everything I know about the Declaration of Independence, I learned from 'Where On Earth is Carmen Sandiego?'","@teganleeoneill","edutainment","x"
"@rollinrabbits Where in Time is Carmen San Diego taught me all I know","@devengreves","edutainment","x"
"""Where in the world is carmen san diego"" was such a dope cartoon & tv show I didn't realize i was being educated at the same time.","@Intlsilkk","edutainment","x"
"I learned everything I know about geography from Where in the world is Carmen sandiego","@Keepin_It_Bril","edutainment","x"
"When I realize I've already learned something they said in this documentary from the where in time is Carmen Sandiego computer game>>>>>>>>>","@DevinHProctor","edutainment","x"
"I learned more watching Carmen SanDiego than I did in school… Sad what’s on the tube today!","@BreakngBaptist","edutainment","x"
"#tbt I used to love this... I learned something every episode. #chilhoodmemories #carmensandiego… http://t.co/OlbzXBPaSu","@IcyJohnson","edutainment","x"
"@notch most everything I learned, I learned from Carmen San Diego.","@mquirion","edutainment","x"
"are PC games still in? do kids still learn from JumpStart and Carmen Sandiego like I did?","@Tasos_Kapsalis7","edutainment","x"
