"contents","author","category","star_tweet"
"A game like Where in the World is Carmen Sandiego? mixed with Metal Slug, but more casual that teaches Greek mythology.","@EduGameIdea","edutainment",
"This group, which achieved fame on the PBS series “Where in the World Is Carmen Sandiego?,” performed loose-jointed, post-Motown styles","@Kurt816807","pop culture",
"I still have this software somewhere in my https://t.co/lj2xwZOh83 kids loved it. The rise and fall of the company behind ‘Reader Rabbit’ and all your favorite educational games https://t.co/9Enfi5X2K6 via @outline","@GregWirtel","edutainment",
"@GeoGreg303 once i tried to play an old carmen sandiego cd in the work cd drive and it exploded don't play it","@MBCnotNBC","pop culture",
"VIDEO: 10 Reasons Where in the World Is Carmen Sandiego? Was the Best Educational TV Show … https://t.co/xXbkFIbYv6 https://t.co/UXQFgdDjLV","@simonrob78","edutainment",
"Next week I’m going to be feeling like Carmen San Diego. 4 cities in two weeks. Im going to need a vacation from this vacation.","@GregFilsAime","travel",
"@Ryanair Time for a trip! Let's see where I end up this afternoon! #carmensandiego","@punkyprudster","travel",
"@Twitch I also grew up watching Kidsongs, Arthur, Barney & the Magic School Bus & playing my Carmen Sandiego games.","@JeremiahLiles1","pop culture",
"@_MarieGrey I wonder, how come you have never done a cosplay of Carmen Sandiego. You would make a good Carmen","@ErnieCosplayApp","style",
"I found #CarmenSanDiego in the #bus in #Rome. #nostalgy #adventuregame https://t.co/oq5Hlin9Z6","@playdiogenes","travel",
"Red ""Carmen San Diego"" hat. #whereintheworldiscarmensandiego #hats #vintage #muse @ Muse… https://t.co/m0QFZgtbWH","@MichiganFlyGirl","style",
"Life aspirations: Finding Carmen Sandiego","@Cody_Betty96","pop culture",
"Gina Rodriguez will be donning the red fedora and trench coat of Carmen Sandiego for Netflix https://t.co/fAdDcMzJP4","@ANF0S","pop culture",
"Highlight of my day, I found #Waldo and #CarmenSandiego !!!! #IMDb #Halloween https://t.co/luUXEpqG99","@Erika_IMDb","style","x"
